FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
 0.00000, 0.00000,11.10852, 0.00000,Total.SURVEY_LC1_3B35
 0.0000, 0.0000,20.7185, 0.0000,Total.SURVEY_LC1_3B37
  4.017668,  0.000000,150.063904,  0.000000,Total.SURVEY_LC1_3B41
 0.00000, 0.00000,44.20061, 0.00000,Total.SURVEY_LC1_3B43
 0.00000, 0.00000,40.32017, 0.00000,Total.SURVEY_LC1_3B45
  0.0000,  0.0000,256.3577,  0.0000,Total.SURVEY_LC1_3B51
 0.00000, 0.00000,57.46146, 0.00000,Total.SURVEY_LC1_3B52
  0.00000,  0.00000,368.61027,  7.16993,Total.SURVEY_LC1_3B53
 0.00000, 0.00000,16.57982, 0.00000,Total.SURVEY_LC1_3B54
 125.97954,   0.00000,3180.47823,  46.29487,Total.SURVEY_LC1_3B55
24.63168, 0.00000,23.74583, 5.00183,Total.SURVEY_LC1_3B71
4.413947,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3B73
 3.910738, 0.000000,28.299692, 0.000000,Total.SURVEY_LC1_3B75
 0.00000, 0.00000,40.32017, 0.00000,Total.SURVEY_LC1_3B83
0.00000,0.00000,3.98279,0.00000,Total.SURVEY_LC1_3B84
2076.193316,   7.378644,   0.000000,   0.000000,Total.SURVEY_LC1_3Bx1
12.58741, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Bx2
12.35321, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Bxx
 4317.67595,  100.92728,12998.38867,   61.78729,Total.SURVEY_LC1_3C10
 3589.69681,   13.93587,21287.68769,   49.82784,Total.SURVEY_LC1_3C21
18996.7338,  129.0460,44324.2664,  283.6178,Total.SURVEY_LC1_3C22
 5255.27867,   40.91122,12698.55575,   65.05270,Total.SURVEY_LC1_3C23
13942.018839,    9.309228,    0.000000,    0.000000,Total.SURVEY_LC1_3C2x
 2612.56194,   37.01341,22774.35720,   50.00168,Total.SURVEY_LC1_3C31
 6885.69929,   85.54349,26665.74624,  138.44779,Total.SURVEY_LC1_3C32
 4206.10165,   18.31911,18271.59632,   36.10770,Total.SURVEY_LC1_3C33
2984.10999,  14.42223,   0.00000,   0.00000,Total.SURVEY_LC1_3C3x
280.0575,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_3Cxx
3071.902077,   4.663939,2934.648124,   4.645289,Total.SURVEY_LC1_3D10
243.1929,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_3D1x
9977.153425,   3.600439,1231.298969,   4.392565,Total.SURVEY_LC1_3D20
4.174207,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Dxx
1375.806107,  20.248307,1468.680747,   9.776937,Total.SURVEY_LC1_3E10
3902.58156,  25.92561,6209.52058,  63.87256,Total.SURVEY_LC1_3E20
1978.32702,   5.00183,3127.17829,   5.00183,Total.SURVEY_LC1_3E30
920.98412, 41.37131, 22.95092,  0.00000,Total.SURVEY_LC1_3F10
157.70995,  0.00000, 76.68932,  0.00000,Total.SURVEY_LC1_3F20
857.883608,  0.000000,220.190464,  4.591064,Total.SURVEY_LC1_3F30
2202.48947,  12.18575,2074.75771,   0.00000,Total.SURVEY_LC1_3F40
16.76969, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Fxx
32329.075560,   52.096579,  753.833225,    4.882199,Total.SURVEY_LC1_3G11
0.000000,0.000000,4.086674,0.000000,Total.SURVEY_LC1_3G12
1178.3452,   0.0000, 166.5414,   0.0000,Total.SURVEY_LC1_3G21
6.236748,6.079276,0.000000,0.000000,Total.SURVEY_LC1_3G22
