DE11.No,DE12.No,DE13.No,DE14.No,DE21.No,DE22.No,DE23.No,DE24.No,DE25.No,DE26.No,DE27.No,DE30.No,DE40.No,DE50.No,DE60.No,DE71.No,DE72.No,DE73.No,DE80.No,DE91.No,DE92.No,DE93.No,DE94.No,DEA1.No,DEA2.No,DEA3.No,DEA4.No,DEA5.No,DEB1.No,DEB2.No,DEB3.No,DEC0.No,DED2.No,DED4.No,DED5.No,DEE0.No,DEF0.No,DEG0.No,DE11.Yes,DE12.Yes,DE13.Yes,DE14.Yes,DE21.Yes,DE22.Yes,DE23.Yes,DE24.Yes,DE25.Yes,DE26.Yes,DE27.Yes,DE30.Yes,DE40.Yes,DE50.Yes,DE60.Yes,DE71.Yes,DE72.Yes,DE73.Yes,DE80.Yes,DE91.Yes,DE92.Yes,DE93.Yes,DE94.Yes,DEA1.Yes,DEA2.Yes,DEA3.Yes,DEA4.Yes,DEA5.Yes,DEB1.Yes,DEB2.Yes,DEB3.Yes,DEC0.Yes,DED2.Yes,DED4.Yes,DED5.Yes,DEE0.Yes,DEF0.Yes,DEG0.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 3190.40715, 2588.85369, 4288.57434, 3314.97440, 6517.10289, 2771.15135, 2281.25810, 1797.33704, 1165.73336, 3115.32118, 3486.76094,   91.08863,15681.90172,   80.85600,  101.06950, 2065.73010,  936.86903, 3461.46725,14718.14492, 2604.08106, 3206.58788, 8307.52548, 6968.57903, 1461.48854, 1769.12665, 2354.81871, 2438.28246, 2010.34251, 2628.65228, 1240.87576, 2754.15646,  600.01472, 4078.35935, 3373.79133, 2009.42220,10261.66112, 7469.72826, 7645.76662, 5360.90907, 2497.48649, 3683.80900, 4001.80207, 7334.29761, 5872.14787, 5943.59279, 4406.22204, 4883.21475, 4273.28038, 4982.60767,  107.86017, 8781.39012,   25.36358,   96.95201, 3705.31396, 3731.15607, 3645.95516, 4359.88831, 4213.76660, 4390.82005, 4660.09193, 5297.60083, 1940.55303, 3702.12459, 3139.67806, 2768.92183, 4063.68769, 4021.83612, 3002.93868, 2891.53940, 1234.86232, 2370.57793, 2062.22383, 1024.83809, 6837.32379, 5069.04382, 6156.29881,Total.SURVEY_LU1_1U1
23.016539,97.165548,65.656197,39.110405,30.060274,23.285815,29.718168,28.960291,16.461589,20.132306,25.036369, 9.227195,78.475237, 5.248144, 4.988028,32.473455, 7.862759,18.889328,65.311087, 6.700203,61.633398,60.840317,54.714651,62.244943,24.915440,46.729168,27.983965,76.824711,14.654363,13.456174, 7.345907,14.831523,22.389586,15.841681,28.158791,96.381062,13.073918,22.581310,14.000668, 0.000000,11.167262, 0.000000,30.199649,18.667283,20.223793,21.639998,23.057600,31.139848,17.445447, 0.000000, 7.914982, 0.000000, 0.000000,17.473014, 0.000000, 3.992664,16.235847, 0.000000, 0.000000, 0.000000, 0.000000, 7.997707, 0.000000, 4.043870, 0.000000,35.081215, 0.000000, 6.138922,15.807757, 4.025372, 0.000000,16.544264, 0.000000, 0.000000,22.496324, 7.989267,Total.SURVEY_LU1_1U2
1165.46809, 885.98230, 738.49394, 881.14026,1911.78822, 636.80568, 842.00309, 541.62016, 500.21806, 638.88269, 855.85606, 544.27455,2483.47430, 233.40082, 478.73884,1066.27485, 387.26162, 646.70017,1731.97739, 900.37310, 964.13606,1561.32387,1559.21748,1439.13094,1327.85642, 887.21985, 902.98918,1262.46069, 885.27928, 268.12512, 752.97766, 526.58524, 967.71307, 810.26230, 747.92282,1790.57050,1643.44993,1284.01388, 580.12162, 359.94389, 364.52996, 392.85221, 575.09798, 464.78221, 324.87378, 320.41666, 462.88198, 287.86554, 217.48378,  56.80810, 500.13068,  37.18283,  21.07108, 295.26706, 204.62877, 304.02146, 392.06754, 213.78887, 238.97362, 420.48178, 682.13561, 239.71726, 330.73358, 342.29880, 287.92461, 324.56933, 285.55909, 231.03482, 251.31440,  70.68484, 316.96404, 169.85025,  43.62093, 623.66783, 588.89510, 475.72720,Total.SURVEY_LU1_1U3
  63.47773, 383.95292,  73.92483, 119.36263, 895.10192, 228.37098, 117.08607,  36.18590,  41.82121,  59.14111, 231.32453,  62.81546,1544.66464,  37.94863,  40.09069, 121.18701,  44.10677, 131.71548,1661.09958, 112.21936, 154.58180, 449.87435, 326.82305, 111.97130,  94.58018,  41.79894,  55.31566,  64.21811,  93.77911,  23.80128,  66.66732,  34.42809, 110.87888,  34.31228,  87.36811, 668.43551, 755.16930, 179.20950, 158.59914, 103.61517, 128.84447, 167.75803, 234.35146, 312.78880, 132.24422,  79.61791, 149.61145, 104.23695, 174.48521,  18.92589, 578.04832,   0.00000,  12.08985, 141.28055,  70.11498,  75.25849, 348.27534,  65.07081,  48.26718,  81.86227,  97.92935,  27.89629, 115.66314, 101.41261,  42.58228, 174.81574, 145.23975, 139.62924, 112.19110,  85.56789,  77.11715,  45.17406,  36.66906, 175.96018, 237.07529, 429.41342,Total.SURVEY_LU1_1U4
273.367735,189.237910, 75.239686,179.062969,191.308453,131.951634,110.588787,102.572611, 68.600217,140.716963,250.682630,110.286947,275.415662, 63.564935, 83.972721,302.275460,123.163330, 58.469076,271.953104,242.396988,159.453311,204.565101,375.419746,272.531724,321.753910,227.651620,238.673812,225.792177,110.773139, 64.796039,191.580529,178.557538,188.720249,206.548579, 46.902387,198.353314,193.978273,358.214239,119.381813, 90.528921, 62.346281, 28.030557, 24.212391, 55.132799, 29.830389, 51.703156, 65.922203, 27.430628, 12.908613,  3.954512, 45.245673,  7.633664,  4.081114, 77.766367, 15.500810, 41.902456, 44.849731, 20.257804, 35.243167, 72.403551,151.627313, 83.381139, 32.075842, 36.011523, 30.320033, 21.162902, 36.146216, 13.917918, 54.928100,  5.233841, 43.963957, 31.317684,  4.038692, 27.910980, 90.421707, 20.257071,Total.SURVEY_LC1_2A1
491.043605,341.112146,314.478923,189.726799,836.940366,247.457663,219.198771,189.379553,226.539071,265.349394,256.605605,193.304169,523.676104, 85.613896,125.107744,283.629180,109.863213,325.801588,293.869228,250.540224,377.574074,357.565894,372.392505,489.680450,404.773909,386.441290,282.379542,552.133798,354.661507, 64.856846,290.377020,107.986747,205.829083,207.875950,250.203512,524.091063,604.410502,288.454038,316.490848,126.708667,139.298457,200.760262,268.369215,235.289848,176.090200,136.233343,213.853248,189.717365,142.936487, 15.447041,142.156411,  4.293936,  0.000000,124.037660,117.100027,150.666275,153.497320,105.400164, 62.034497,211.576759,190.493063, 63.666319,185.689609,155.427688, 84.202092,189.620050,117.920881,137.793571, 99.794014, 30.659590,104.366210, 57.285624,  6.698579,332.138467,225.725812,243.769405,Total.SURVEY_LC1_2A2
 11.728753, 13.259574, 72.310421, 10.267987, 39.196432, 11.824112,  3.880145, 18.334193, 20.020851, 16.027973,  0.000000,  0.000000,157.795584,  0.000000, 12.172497, 18.191684,  0.000000,  8.479177, 45.862866, 14.804967, 25.160003,  7.844955, 37.769736, 40.902143,  9.071527,  8.047083, 33.116963, 19.484511, 14.042619, 10.405814,  4.041347,  8.089922, 47.820619,  0.000000, 29.073695, 62.258329, 33.923878,  8.276693, 54.887362, 47.131755, 26.269459, 20.159164, 36.723613, 36.357052, 18.891447, 23.239185, 40.695618, 23.181300, 23.404419,  0.000000, 33.986265, 17.032949,  0.000000, 19.391461, 13.476225, 24.928101,  4.029482, 14.309670, 12.659267,  7.983620, 19.020592, 14.567167, 20.359754, 29.909786, 12.743330, 32.289678, 38.514224, 27.344386, 21.834473,  8.050744,  3.967741, 13.508982,  9.072371, 30.466106, 42.485131, 35.190698,Total.SURVEY_LC1_2A3
   0.000000,   0.000000,   0.000000,  12.312782,  75.377553,  24.653209,   6.589987,  14.260918,   4.705789,  15.128625,  23.831989,   0.000000, 339.653292,   0.000000,   0.000000,   0.000000,   0.000000,   3.893354, 203.278644,  47.783347,  17.168173,  31.253545,  45.021551,   0.000000,  25.170645,  14.479467,   4.972783,  20.130713,   0.000000,   0.000000,   6.936317,   0.000000,  38.256026,  80.286823,  65.605200, 141.097482,  31.572167,  38.738325,1394.424053, 606.479035, 514.062686, 649.164480,1409.055806,1156.890004,1053.864490,1075.748539,1205.434986,1292.766435, 814.660856,   7.871600,1828.595879,   4.273563,  12.264838, 741.022741, 687.897295,1190.234046,1711.836153,1112.731450,1686.866785,1836.127945,1999.585072, 589.785731, 825.869171,1425.448969,1227.116635, 632.256807, 542.741421, 416.393550, 635.407426,  64.148259, 448.109778, 534.612648, 335.640785,2215.652590,2136.806896,1360.670358,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.026956,  0.000000,  0.000000, 17.837906,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  9.205841,  0.000000, 12.341904,  0.000000, 12.473884,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 12.539040,  5.754560,  0.000000, 12.524021,  0.000000,  0.000000,134.015000, 54.651126, 19.003255, 17.035045, 98.595717,186.348829, 81.122362,  0.000000, 80.267729, 87.097219,100.547763,  0.000000, 71.351622,  0.000000,  0.000000,146.375103,  0.000000, 28.585164,149.021496,271.202359,237.116064,329.516154,271.677158,174.985763,330.353328, 62.827812, 98.741546, 77.226415, 50.251068,  9.565919,171.629577,  4.025372, 37.793024,  5.754560, 35.467126,208.114403,118.845710, 23.168968,Total.SURVEY_LC1_2B2
  0.000000,  0.000000,  0.000000,  0.000000, 37.068027, 10.863944,  3.897462,  0.000000,  9.411578,  0.000000,  0.000000,  0.000000, 77.644439,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,132.095338, 10.399913, 18.336314,  0.000000,  4.008322,  7.345733, 25.393522,  0.000000,  0.000000,  8.126595,  0.000000,  0.000000,  0.000000,  0.000000,  6.418396,  5.754560, 19.143516,107.867125, 30.983204, 80.398576,323.630945,136.498737,208.527372,302.680489,539.890412,635.274405,480.453056,193.830134,294.545929,262.928911,293.571484,  0.000000,402.628596,  0.000000,  4.061353,131.623243, 81.379890,158.423315,455.335539,200.726553,232.410113, 30.411572,214.065255, 36.355768,103.540610, 47.629472,181.183641, 61.221724,242.449502, 70.315787,152.466860, 56.217565,314.333220,165.624809,120.467053,475.162460,251.539216,366.017261,Total.SURVEY_LC1_2B3
