FR10.No,FRB0.No,FRC1.No,FRC2.No,FRD1.No,FRD2.No,FRE1.No,FRE2.No,FRF1.No,FRF2.No,FRF3.No,FRG0.No,FRH0.No,FRI1.No,FRI2.No,FRI3.No,FRJ1.No,FRJ2.No,FRK1.No,FRK2.No,FRL0.No,FRM0.No,FR10.Yes,FRB0.Yes,FRC1.Yes,FRC2.Yes,FRD1.Yes,FRD2.Yes,FRE1.Yes,FRE2.Yes,FRF1.Yes,FRF2.Yes,FRF3.Yes,FRG0.Yes,FRH0.Yes,FRI1.Yes,FRI2.Yes,FRI3.Yes,FRJ1.Yes,FRJ2.Yes,FRK1.Yes,FRK2.Yes,FRL0.Yes,FRM0.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 4596.7570,15118.5002,13152.9452, 5649.2207, 5734.6539, 2890.3049, 3395.8566, 7448.0166, 2609.6444,10940.6003, 6089.6328, 9830.6898, 8114.9955,21032.1121, 6534.6000, 9616.7816,12259.0047,18423.1990,10384.8620,16854.9962,12672.6113, 3126.7306, 3897.6602,19547.4989,15716.8582, 9031.7548, 9729.6978, 7476.8946, 6602.6339, 9952.2584, 4249.6050,12354.4528,14749.6873,16835.5893,14300.9494,13703.9252, 8032.0092,12801.3738, 6515.8372,19068.2481,12714.7390,14741.2051, 4729.1553,  481.8233,Total.SURVEY_LU1_1U1
 70.290818,114.825151, 20.973741, 12.264265, 11.461277, 41.358544, 54.047626, 48.146191,  0.000000, 29.893221, 53.900444, 39.378256, 92.527682, 56.198479, 48.202492,  5.523134, 35.341118, 46.029082, 25.367864,147.062800, 81.287353,  8.047371,  0.000000,  4.187844,  4.024565,  4.148095,  0.000000,  0.000000,  0.000000, 11.545638,  3.973845,  0.000000,  4.035456, 28.595864,  0.000000,  3.994247, 10.967003,  0.000000, 24.864132,  4.029437,  0.000000, 27.364762,  4.071429,  8.096411,Total.SURVEY_LU1_1U2
2642.44928,2363.24221,1260.52008, 672.13798,1068.15024,1325.18076,1561.71145,1208.87794, 879.46960,1401.64915,1293.29903,2419.71950,2022.27744,2947.46169, 627.42143,1378.87226,1829.10683,2239.53238, 883.85559,3690.98933,3215.41060, 357.36341, 493.03329,1028.15838, 689.35981, 517.16928, 700.02047, 362.47840, 557.66152, 406.96432, 453.22859, 624.96486, 763.03612,1945.68887,1723.96178,1684.29493, 702.07393,1233.48611, 689.00595,1514.73397,1039.47398,1429.28951, 564.23393,  70.90819,Total.SURVEY_LU1_1U3
 251.14021, 971.54683, 368.01574, 226.98955, 261.34517, 115.44536, 177.75989, 269.46371,  58.40024, 252.43122, 453.17835, 757.56551, 776.13267,1572.38724, 463.53906, 427.73947,4855.79617,3521.86505, 746.65575,6701.34192,9763.66551,4540.59649, 118.66912, 381.04049, 541.30268, 194.31533, 252.67114, 143.33741,  94.32906, 159.72717,  74.67843, 116.00839, 262.23045, 518.77289, 440.15550, 803.62610, 637.18683, 503.22361,1434.04385, 785.36297, 377.04585,1369.75041, 808.56461, 132.43423,Total.SURVEY_LU1_1U4
409.928764,322.173795,220.221595,121.922644,122.102573,227.375488,387.871655,323.997430,141.431209, 58.161686,229.685853,241.638637,427.664415,544.795323, 68.296158,231.799415,196.987560,196.412153,192.894110,609.313292,538.122623, 33.003699,  8.143142,157.527225, 90.223457, 47.032288, 46.820153, 42.554623, 92.919618, 28.089683, 78.335869,111.483742, 65.912296,354.409007,354.725350,229.697131, 48.754356, 67.695254, 75.793047,150.737317,140.565939, 62.272464, 60.635780,  8.297649,Total.SURVEY_LC1_2A1
 990.78272, 757.97563, 425.41904, 225.45490, 510.06755, 226.39614, 615.80338, 326.46270, 225.24372, 426.67513, 517.75565, 972.72121, 712.63402, 835.63065, 196.16746, 432.97963, 859.56588, 816.00191, 259.41203,1118.90632,1087.91859, 133.56648, 229.32074, 504.78648, 369.08000, 286.97733, 325.62504, 139.67005, 265.57473, 222.02033, 231.58435, 355.29324, 295.35193, 894.97999, 724.90289, 546.34259, 333.50177, 740.06169, 456.24792, 731.71059, 443.10581, 788.07254, 177.75477,  32.70249,Total.SURVEY_LC1_2A2
 33.595403, 40.185194, 11.686878, 12.030000, 14.962231,  8.041407, 16.090829, 23.679652, 21.401684, 72.812854, 42.946621, 34.500778, 29.048692, 74.706152, 30.715466, 26.433276, 40.289559, 16.967479, 31.593593,116.904741, 36.422387,  4.131440, 36.496437, 12.113576, 48.913191, 22.470711, 69.631469, 45.390511, 13.735689, 63.921891, 27.499490, 62.516054, 69.957027, 33.352153, 51.123747, 36.386752, 35.587944, 14.480482, 12.233059, 56.053071, 42.461748, 50.193198, 12.018918,  0.000000,Total.SURVEY_LC1_2A3
3.860907,5.212478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.989998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.479522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ax
  91.709814, 407.836303, 138.485982,  33.191278, 175.939735,  53.029741, 183.741309,  88.912241,   5.779781,  91.105833,  24.068347, 134.489473, 265.293959, 148.649258,   8.017404,  44.486269,   0.000000, 219.533440,  72.279690, 120.752964,  22.517377,   0.000000,1056.053478,7729.870417,2954.388071, 905.395896,3482.327357,2525.811754,3327.212285,4819.142237,1349.770098,3821.935594,3322.120193,5880.458047,5843.027338,3078.568230, 649.572212,3685.959833, 471.882306,4813.932395,1659.960233,2721.340049, 338.936157,  15.992708,Total.SURVEY_LC1_2B1
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  16.398203,  13.735689,   4.009644,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.444419,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 217.694757, 359.294833,  18.329776,  23.507767,  63.092753, 331.504470,1136.000672,1546.079773,  57.750598, 736.965362,   0.000000,  46.454214, 165.443806,  42.957319,  12.028474,  22.805256,  20.306773,   0.000000,  21.070761,  58.624044,  23.006215,   0.000000,Total.SURVEY_LC1_2B2
  27.926428, 237.489958,  85.037678,  21.567493,  80.360659,  16.398203,   0.000000,  33.348565,   0.000000,  40.463029,  15.280674,   0.000000,  54.314251,   3.982681,   4.106475,  28.960964,   0.000000, 151.570094,  24.391466,   0.000000,   0.000000,   0.000000, 918.981059,2792.979517,1469.000880, 397.397989, 478.168524,1176.760467, 446.297465,1317.897874, 108.218104,1809.468486, 869.257401,1595.633131, 596.224274, 838.588224, 109.386372,2420.674022, 216.918364,2112.503996, 290.114152, 521.957502,  58.944251,   0.000000,Total.SURVEY_LC1_2B3
  0.000000, 28.027517, 16.159959,  4.029850,  0.000000,  0.000000,  0.000000, 11.121793,  0.000000, 18.236059,  0.000000,  4.164509, 13.582143,  0.000000,  0.000000,  0.000000, 29.403661,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 44.012833, 64.451713,  8.980114, 26.008758,103.761775, 31.265487,212.065638,230.873993, 35.086049,195.478019,  0.000000,168.864348,316.792206,160.585221,  4.008702,126.301723,122.244463,236.461695, 40.442660,108.736551,109.352325,  0.000000,Total.SURVEY_LC1_2B4
   7.972923,  38.588474,  65.052706,  10.144763,  41.016003,  24.375779,   0.000000,   0.000000,   0.000000,   4.030113,   3.969903, 223.414974,  25.805131,  18.887135,  23.969294,  92.416098,  26.130203,  20.150162,  64.611361,  52.786399,  17.355329,   0.000000, 346.798636, 957.725754, 934.567742, 463.317763, 447.553198, 302.744402, 128.216302, 340.769772,  92.407164, 837.246361, 724.963514,1655.220155,1125.200576, 515.238825, 588.072198,1002.377864, 605.740209,2277.448059,1002.148356, 843.369181, 312.245963,  19.954200,Total.SURVEY_LC1_2B5
  4.136105, 22.165058,  8.467297,  8.195450, 61.570041,  4.040753, 16.227036,  4.448149, 16.855360, 11.991647, 17.030834, 23.335089,  4.084856, 16.136700, 11.800565, 28.873365,  5.866814, 51.168474,  4.002224, 46.100334, 26.873461,  8.205790,  7.874000, 31.154964, 25.099570, 37.574498,184.441185, 59.586604, 24.857048, 25.794363, 76.938666, 11.953584,130.837540,141.995643, 67.676251,254.831759, 85.644474, 52.620381,279.370745,234.229992, 61.116128,277.431528,312.567028, 20.666832,Total.SURVEY_LC1_2B7
   0.000000,  25.694128,  71.798169,   0.000000,   0.000000,   0.000000,   0.000000,   8.226642,  17.722190,   8.142541,   0.000000,  81.656145,   0.000000, 139.376933,   0.000000,  92.052467, 440.798077,  44.416047,   0.000000,  48.281488, 104.201053,  16.352307,   3.866963, 201.314586, 265.614407,  28.635271,   0.000000,   8.031094,   0.000000,  16.361109, 135.218672, 253.324985,  12.028964, 286.403086,   4.017736, 999.715078,   4.128757, 854.963882,2048.358987, 314.327819,   8.288956, 559.532833, 962.553693,  82.299286,Total.SURVEY_LC1_2B8
 706.31071,3628.21350,1552.12427, 320.42250,1229.55061, 622.03288, 925.24552,2246.35451, 449.37080,1839.96812,1460.56695,2418.98268,1753.13937,1598.43906, 588.81139,2751.05268, 398.74831,1605.36594, 418.08941, 582.70043, 774.29084,  52.12567,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_2Bx
 2380.1832, 5115.5859, 5494.7121, 2910.3627, 1463.8326,  820.4961,  988.4704, 3044.8632, 1529.2635, 4846.3694, 1912.1951, 2451.1210, 2800.2830, 7458.5320, 2722.6501, 2437.8772, 7281.8942,10393.6907, 3327.1956, 7003.5118, 4592.6765, 2729.8691,  611.2357, 4541.0514, 3587.0162, 2042.7964, 1001.0958, 1402.2781,  515.5897,  700.5619, 1179.0958, 1663.7755, 5711.0060, 1555.4525, 1963.6525, 2838.4951, 2324.2918, 1772.2340, 1050.7169, 3041.1972, 1672.7968, 2522.5110,  730.7629,  277.0755,Total.SURVEY_LC1_2C1
  37.427188, 545.413404, 595.874699, 599.997975, 133.755672,  57.496574,   0.000000,  96.506192,  48.089269, 268.862088, 339.800785, 449.024598, 234.045948,6068.274466, 600.199861,  61.290429,1935.073673,1118.810595,1213.700720,3086.996337,4156.676770, 542.430883,  12.785523,  58.175185, 278.515947, 389.687499,  23.772952, 108.277605,   0.000000,   6.296868, 265.116297,  76.935156, 352.173333, 113.209352,  83.466432,1231.104520, 288.468696, 267.551247, 544.660874, 112.525713, 668.435331,1148.152042, 543.228510,  33.319306,Total.SURVEY_LC1_2C2
 341.07039, 507.57063, 312.92382, 757.30462,  27.73927, 118.73562,  87.95167, 116.54150, 308.62534, 310.61697, 321.51047, 448.37113, 661.75999,1258.71084, 448.23056,  61.95548,1541.85828,1045.01734, 997.54981,3152.33720,4299.23053, 666.53921,  33.08034, 397.21905, 309.91815, 992.77656, 121.80213, 104.40717,  42.03844,  26.53194, 232.86723, 116.77875, 976.77490, 572.73683, 397.75170, 507.54826, 368.03262, 252.99120, 271.26856, 247.80168, 619.29375,1911.59923,1005.46330,  10.51309,Total.SURVEY_LC1_2C3
204.723170, 79.864086, 32.529819, 35.228840, 29.410328,  7.873129,  0.000000, 16.261677,  0.000000,106.485589, 51.432945, 38.146486, 37.360460, 67.305577, 55.442003,  8.222122,429.775191,290.972801, 99.642552,193.512888,545.658987, 71.033317,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2Cx
 47.888168,119.593180, 27.878341, 20.098012, 52.863788, 26.799647,  4.046924, 48.921501,  8.934155, 27.987670, 44.735068, 19.996492,110.231246,348.919264, 36.119316, 48.009481,848.746138,320.605965,125.176457,409.044266,981.051911,708.734280, 19.749014, 33.493870, 60.850847, 48.185323, 48.459019, 80.105925,  4.892905, 12.262648,  3.924707, 20.325472, 70.731561, 46.539736, 53.415025,236.715303, 67.429189, 40.284639,362.215901,140.286850, 95.821358, 65.061207,172.353373, 25.508553,Total.SURVEY_LC1_2D1
