LU0.No,LU0.Yes,variable
No,Yes,flag_two
  0.0000,108.7966,CI.u(95%).Total.SURVEY_LC1_3B16
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_3B18
0.000000,8.059006,CI.u(95%).Total.SURVEY_LC1_3B21
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_3B31
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LC1_3B32
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_3B41
0.000000,8.059006,CI.u(95%).Total.SURVEY_LC1_3B43
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_3B51
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_3B52
0.000000,8.059006,CI.u(95%).Total.SURVEY_LC1_3B53
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_3B54
  0.0000,104.7671,CI.u(95%).Total.SURVEY_LC1_3B55
0.000000,8.059006,CI.u(95%).Total.SURVEY_LC1_3B71
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_3B75
 0.00000,12.08851,CI.u(95%).Total.SURVEY_LC1_3B82
4.029503,0.000000,CI.u(95%).Total.SURVEY_LC1_3Bx1
16.11801, 0.00000,CI.u(95%).Total.SURVEY_LC1_3Bxx
  0.0000,642.9708,CI.u(95%).Total.SURVEY_LC1_3C10
  0.0000,156.8553,CI.u(95%).Total.SURVEY_LC1_3C21
0.00000,4.62034,CI.u(95%).Total.SURVEY_LC1_3C22
 0.0000,17.3325,CI.u(95%).Total.SURVEY_LC1_3C23
21.51303, 0.00000,CI.u(95%).Total.SURVEY_LC1_3C2x
 0.0000,41.9254,CI.u(95%).Total.SURVEY_LC1_3C31
 0.000,21.362,CI.u(95%).Total.SURVEY_LC1_3C32
 0.00000,46.18631,CI.u(95%).Total.SURVEY_LC1_3C33
8.904704,0.000000,CI.u(95%).Total.SURVEY_LC1_3C3x
4.62034,0.00000,CI.u(95%).Total.SURVEY_LC1_3Cxx
 0.00000,21.19219,CI.u(95%).Total.SURVEY_LC1_3D10
0.000000,8.059006,CI.u(95%).Total.SURVEY_LC1_3D20
 0.00000,97.55377,CI.u(95%).Total.SURVEY_LC1_3E10
  0.00,648.75,CI.u(95%).Total.SURVEY_LC1_3E20
8.059006,0.000000,CI.u(95%).Total.SURVEY_LC1_3E2x
 0.00000,29.05222,CI.u(95%).Total.SURVEY_LC1_3E30
4.029503,0.000000,CI.u(95%).Total.SURVEY_LC1_3Exx
 0.00000,32.23602,CI.u(95%).Total.SURVEY_LC1_3F40
 0.00000,12.08851,CI.u(95%).Total.SURVEY_LC1_3G11
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LC1_3G21
0.000000,4.029503,CI.u(95%).Total.SURVEY_LC1_3H11
  28.20652,1245.11646,CI.u(95%).Total.SURVEY_LU1_3U111
 33.98548,872.13950,CI.u(95%).Total.SURVEY_LU1_3U120
0.000000,4.029503,CI.u(95%).Total.SURVEY_LU1_3U140
0.000000,4.029503,CI.u(95%).Total.SURVEY_LU1_3U221
0.000000,4.029503,CI.u(95%).Total.SURVEY_LU1_3U223
0.000000,8.059006,CI.u(95%).Total.SURVEY_LU1_3U224
 0.00000,12.08851,CI.u(95%).Total.SURVEY_LU1_3U311
  0.0000,101.5833,CI.u(95%).Total.SURVEY_LU1_3U312
0.000000,4.029503,CI.u(95%).Total.SURVEY_LU1_3U317
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LU1_3U319
0.000000,8.059006,CI.u(95%).Total.SURVEY_LU1_3U321
 0.00000,12.67935,CI.u(95%).Total.SURVEY_LU1_3U330
0.000000,8.059006,CI.u(95%).Total.SURVEY_LU1_3U341
 0.00000,16.11801,CI.u(95%).Total.SURVEY_LU1_3U350
 0.00000,28.20652,CI.u(95%).Total.SURVEY_LU1_3U361
 0.00000,24.17702,CI.u(95%).Total.SURVEY_LU1_3U362
 4.029503,93.269408,CI.u(95%).Total.SURVEY_LU1_3U370
0.000000,4.029503,CI.u(95%).Total.SURVEY_LU1_3U414
 0.00000,69.34725,CI.u(95%).Total.SURVEY_LU1_3U420
  62.192,2205.805,CI.u(95%).Total.settlement0
  4.029503,327.604241,CI.u(95%).Total.settlement1
0.006097833,0.495762377,CI.u(95%).Total.settl_pc
  36.85636,1637.60863,CI.u(95%).Total.fao_class_name0
 29.83689,872.26769,CI.u(95%).Total.fao_class_name1
 0.00000,12.93421,CI.u(95%).Total.fao_class_name2
 0.00000,12.08851,CI.u(95%).Total.fao_class_name3
  62.192,2362.775,CI.u(95%).Total.lue0
  4.029503,169.829967,CI.u(95%).Total.lue1
  66.2215,2358.8701,CI.u(95%).Total.lud0
  0.0000,174.3133,CI.u(95%).Total.lud1
0.012490510,0.000319075,CV.Total.area
NA,0.002106997,CV.Total.SURVEY_LC1_1A
0,0,CV.Total.SURVEY_LC1_1B
0.024916635,0.001282599,CV.Total.SURVEY_LC1_1C
NA,0.0177243,CV.Total.SURVEY_LC1_1D
0.0000000000,0.0007457714,CV.Total.SURVEY_LC1_1E
NA,  0,CV.Total.SURVEY_LC1_1F
NA,  0,CV.Total.SURVEY_LC1_1G
NA,  0,CV.Total.SURVEY_LC1_1H
0.0133209155,0.0004957442,CV.Total.SURVEY_LU1_1U1
NA,  0,CV.Total.SURVEY_LU1_1U2
0.000000000,0.001789581,CV.Total.SURVEY_LU1_1U3
NA,0.005652,CV.Total.SURVEY_LU1_1U4
NA,  0,CV.Total.SURVEY_LC1_2A1
NA,0.00335928,CV.Total.SURVEY_LC1_2A2
NA,  0,CV.Total.SURVEY_LC1_2A3
NA,  0,CV.Total.SURVEY_LC1_2B1
NA,  0,CV.Total.SURVEY_LC1_2B2
NA,  0,CV.Total.SURVEY_LC1_2B3
NA,  0,CV.Total.SURVEY_LC1_2B4
NA,  0,CV.Total.SURVEY_LC1_2B5
NA,  0,CV.Total.SURVEY_LC1_2B7
NA,  0,CV.Total.SURVEY_LC1_2B8
  0,NA,CV.Total.SURVEY_LC1_2Bx
NA,0.003103568,CV.Total.SURVEY_LC1_2C1
0.031771846,0.009342885,CV.Total.SURVEY_LC1_2C2
0.05063493,0.01173627,CV.Total.SURVEY_LC1_2C3
0.07179582,NA,CV.Total.SURVEY_LC1_2Cx
NA,0.02479204,CV.Total.SURVEY_LC1_2D1
NA,  0,CV.Total.SURVEY_LC1_2D2
NA,0.00423961,CV.Total.SURVEY_LC1_2E1
0,0,CV.Total.SURVEY_LC1_2E2
NA,0.01452059,CV.Total.SURVEY_LC1_2E3
  0,NA,CV.Total.SURVEY_LC1_2Ex
NA,  0,CV.Total.SURVEY_LC1_2F4
NA,  0,CV.Total.SURVEY_LC1_2G1
NA,  0,CV.Total.SURVEY_LC1_2G2
NA,  0,CV.Total.SURVEY_LC1_2H1
0,0,CV.Total.SURVEY_LU1_2U11
0.024916635,0.001207468,CV.Total.SURVEY_LU1_2U12
NA,  0,CV.Total.SURVEY_LU1_2U14
NA,  0,CV.Total.SURVEY_LU1_2U22
NA,0.003083716,CV.Total.SURVEY_LU1_2U31
NA,  0,CV.Total.SURVEY_LU1_2U32
NA,0.02401446,CV.Total.SURVEY_LU1_2U33
NA,  0,CV.Total.SURVEY_LU1_2U34
NA,  0,CV.Total.SURVEY_LU1_2U35
NA,  0,CV.Total.SURVEY_LU1_2U36
0.000000000,0.003137024,CV.Total.SURVEY_LU1_2U37
NA,  0,CV.Total.SURVEY_LU1_2U41
NA,0.005984268,CV.Total.SURVEY_LU1_2U42
NA,  0,CV.Total.SURVEY_LC1_3A11
NA,  0,CV.Total.SURVEY_LC1_3A12
NA,0.005549159,CV.Total.SURVEY_LC1_3A21
NA,0.00423961,CV.Total.SURVEY_LC1_3A22
NA,  0,CV.Total.SURVEY_LC1_3A30
NA,  0,CV.Total.SURVEY_LC1_3B11
NA,  0,CV.Total.SURVEY_LC1_3B12
NA,  0,CV.Total.SURVEY_LC1_3B13
NA,  0,CV.Total.SURVEY_LC1_3B14
NA,  0,CV.Total.SURVEY_LC1_3B15
NA,  0,CV.Total.SURVEY_LC1_3B16
NA,  0,CV.Total.SURVEY_LC1_3B18
NA,  0,CV.Total.SURVEY_LC1_3B21
NA,  0,CV.Total.SURVEY_LC1_3B31
NA,  0,CV.Total.SURVEY_LC1_3B32
NA,  0,CV.Total.SURVEY_LC1_3B41
NA,  0,CV.Total.SURVEY_LC1_3B43
NA,  0,CV.Total.SURVEY_LC1_3B51
NA,  0,CV.Total.SURVEY_LC1_3B52
NA,  0,CV.Total.SURVEY_LC1_3B53
NA,  0,CV.Total.SURVEY_LC1_3B54
NA,  0,CV.Total.SURVEY_LC1_3B55
NA,  0,CV.Total.SURVEY_LC1_3B71
NA,  0,CV.Total.SURVEY_LC1_3B75
NA,  0,CV.Total.SURVEY_LC1_3B82
  0,NA,CV.Total.SURVEY_LC1_3Bx1
  0,NA,CV.Total.SURVEY_LC1_3Bxx
NA,0.003103568,CV.Total.SURVEY_LC1_3C10
NA,0.01003087,CV.Total.SURVEY_LC1_3C21
NA,0.07179582,CV.Total.SURVEY_LC1_3C22
NA,0.03561635,CV.Total.SURVEY_LC1_3C23
0.03177185,NA,CV.Total.SURVEY_LC1_3C2x
NA,0.01872519,CV.Total.SURVEY_LC1_3C31
NA,0.02852249,CV.Total.SURVEY_LC1_3C32
NA,0.01918639,CV.Total.SURVEY_LC1_3C33
0.05063493,NA,CV.Total.SURVEY_LC1_3C3x
0.07179582,NA,CV.Total.SURVEY_LC1_3Cxx
NA,0.02479204,CV.Total.SURVEY_LC1_3D10
NA,  0,CV.Total.SURVEY_LC1_3D20
NA,0.00423961,CV.Total.SURVEY_LC1_3E10
NA,  0,CV.Total.SURVEY_LC1_3E20
  0,NA,CV.Total.SURVEY_LC1_3E2x
NA,0.01452059,CV.Total.SURVEY_LC1_3E30
  0,NA,CV.Total.SURVEY_LC1_3Exx
NA,  0,CV.Total.SURVEY_LC1_3F40
NA,  0,CV.Total.SURVEY_LC1_3G11
NA,  0,CV.Total.SURVEY_LC1_3G21
NA,  0,CV.Total.SURVEY_LC1_3H11
0,0,CV.Total.SURVEY_LU1_3U111
0.024916635,0.001207468,CV.Total.SURVEY_LU1_3U120
NA,  0,CV.Total.SURVEY_LU1_3U140
NA,  0,CV.Total.SURVEY_LU1_3U221
NA,  0,CV.Total.SURVEY_LU1_3U223
NA,  0,CV.Total.SURVEY_LU1_3U224
NA,  0,CV.Total.SURVEY_LU1_3U311
NA,0.004070096,CV.Total.SURVEY_LU1_3U312
NA,  0,CV.Total.SURVEY_LU1_3U317
NA,  0,CV.Total.SURVEY_LU1_3U319
NA,  0,CV.Total.SURVEY_LU1_3U321
NA,0.02401446,CV.Total.SURVEY_LU1_3U330
NA,  0,CV.Total.SURVEY_LU1_3U341
NA,  0,CV.Total.SURVEY_LU1_3U350
NA,  0,CV.Total.SURVEY_LU1_3U361
NA,  0,CV.Total.SURVEY_LU1_3U362
0.000000000,0.003137024,CV.Total.SURVEY_LU1_3U370
NA,  0,CV.Total.SURVEY_LU1_3U414
NA,0.005984268,CV.Total.SURVEY_LU1_3U420
0.0133209155,0.0004437975,CV.Total.settlement0
0.000000000,0.001767493,CV.Total.settlement1
0.000000000,0.001767493,CV.Total.settl_pc
0.0080140324,0.0004628429,CV.Total.fao_class_name0
0.026708898,0.001319463,CV.Total.fao_class_name1
NA,0.03381472,CV.Total.fao_class_name2
NA,  0,CV.Total.fao_class_name3
0.0133209155,0.0003617096,CV.Total.lue0
0.000000000,0.001718069,CV.Total.lue1
0.0124905096,0.0003983927,CV.Total.lud0
NA,0.002890713,CV.Total.lud1
