HU11.No,HU12.No,HU21.No,HU22.No,HU23.No,HU31.No,HU32.No,HU33.No,HU11.Yes,HU12.Yes,HU21.Yes,HU22.Yes,HU23.Yes,HU31.Yes,HU32.Yes,HU33.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 15.54072, 57.56812,123.94496, 63.80382,114.45214,347.18867, 92.73348, 80.20012,Total.SURVEY_LC1_2D1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 16.26403, 39.16651, 48.75889, 55.89986, 79.87711,232.36342,109.30887, 86.61727,Total.SURVEY_LC1_2D2
0.000000,0.000000,0.000000,0.000000,0.000000,3.861248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 23.98264, 88.94607,257.89204,103.86275,195.69213,340.32363,253.59395,292.81075,Total.SURVEY_LC1_2E1
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  59.92607, 743.33159,1096.67673,1145.63204,1019.26733,1817.32362,2921.57346,3085.22959,Total.SURVEY_LC1_2E2
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.962686,320.487231,404.787800,235.719562,364.928967,403.165505,456.829540,503.743925,Total.SURVEY_LC1_2E3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.896254,0.000000,0.000000,3.913089,0.000000,0.000000,8.646157,Total.SURVEY_LC1_2F2
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   8.472196, 131.827202, 546.426450,  39.416988,1396.787106, 569.936267, 432.195916, 949.622835,Total.SURVEY_LC1_2F4
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.864173, 45.267560,384.636407,117.811544,394.996457,110.030582,146.076223,124.979835,Total.SURVEY_LC1_2G1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 15.39592, 97.35735, 34.15813, 56.77831, 68.94717, 25.13897, 82.61325,105.83900,Total.SURVEY_LC1_2G2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 57.21595,112.06647,184.21528, 98.79938,136.09412,245.72371,209.79700,Total.SURVEY_LC1_2H1
  11.97217, 471.21696,1728.38011, 718.65867, 979.18168,1014.47419,2794.41699,3591.42322,  45.86897,2563.03761,4491.59136,5347.21242,6847.38824,5935.29094,9763.50177,9688.99156,Total.SURVEY_LU1_2U11
   0.000000,   0.000000,   0.000000,   3.088408,   0.000000,   0.000000,   4.241827,   0.000000,  52.860064,1873.562209,2552.376502,3523.057579,4334.869460,3999.624289,2763.976289,2756.483381,Total.SURVEY_LU1_2U12
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  8.120131, 60.360466, 12.035183, 93.718832, 29.530738, 89.511766,113.986770,Total.SURVEY_LU1_2U13
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,36.907986,12.532266, 8.002161, 3.913089,28.572733, 8.141393,16.168412,Total.SURVEY_LU1_2U14
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.203559,0.000000,4.176892,0.000000,0.000000,7.039583,Total.SURVEY_LU1_2U15
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.595045,12.271500, 8.979417,13.638819,18.302053, 4.260302,Total.SURVEY_LU1_2U21
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,18.098935,39.723664,45.957239,25.701845, 8.324997,16.820091, 7.988589,24.548827,Total.SURVEY_LU1_2U22
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,112.7085,317.7225,348.7966,372.7941,311.9058,296.7119,591.2198,432.2397,Total.SURVEY_LU1_2U31
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,11.95162,25.70790,37.90082,26.28779,12.24042,35.50856,62.58083,46.87524,Total.SURVEY_LU1_2U32
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.663386, 8.557758,11.957097,16.500749, 8.529426, 7.913409,26.296325, 3.934766,Total.SURVEY_LU1_2U33
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,15.798226,33.023890, 4.391486,11.836583, 4.352534, 3.956705,19.963467, 8.025080,Total.SURVEY_LU1_2U34
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,36.64362,64.30990,80.46200,26.46526,34.94797,16.82261,43.50641,40.79331,Total.SURVEY_LU1_2U35
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 35.06989, 56.00016,357.85083,140.73525,370.53765,128.91890, 69.76068,148.68135,Total.SURVEY_LU1_2U36
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,118.7086,456.6458,412.2442,411.1569,381.8944,658.0045,380.8419,561.7404,Total.SURVEY_LU1_2U37
  0.000000,  3.912483,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.427882, 12.844890, 92.269848,148.968893, 90.714718,133.799095,284.866500,109.124529,170.237417,Total.SURVEY_LU1_2U41
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.861248,  0.000000,  0.000000, 42.811174,340.281226,779.431503,581.480892,658.240038,951.483908,969.625415,716.142786,Total.SURVEY_LU1_2U42
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 63.60917,203.68795,132.12607,119.59983,124.44401,109.08033,141.34383,221.32024,Total.SURVEY_LC1_3A11
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,11.352275, 0.000000,25.985637, 0.000000, 0.000000, 4.034139,25.974400, 0.000000,Total.SURVEY_LC1_3A12
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.398645,10.250795,Total.SURVEY_LC1_3A13
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 54.31121,115.73793,115.58515, 88.34433, 89.88150, 30.10655,105.22538,117.01372,Total.SURVEY_LC1_3A21
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 57.72014,120.56244,234.12819,178.07160,187.88313,246.90980,380.38170,247.65001,Total.SURVEY_LC1_3A22
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.658483, 3.912483,12.654638,29.496011,16.196827,13.638819,57.944706,12.129833,Total.SURVEY_LC1_3A30
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.742127, 305.066944, 661.610121,1211.194630,1029.105682,1039.617533,1008.255663,1513.483378,Total.SURVEY_LC1_3B11
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,58.878031, 3.952836, 0.000000, 0.000000, 0.000000,64.442398,Total.SURVEY_LC1_3B12
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.742127, 97.043655,234.148279,525.092158,293.144979,313.937234,121.684573,366.259592,Total.SURVEY_LC1_3B13
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.929684, 12.939886,  0.000000,  3.945867,  0.000000,  0.000000,140.127534,Total.SURVEY_LC1_3B14
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 62.423037,143.541245,  0.000000,  3.973723,106.055568,  0.000000,Total.SURVEY_LC1_3B15
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   7.484255, 447.966766, 752.122820,1217.921354,1288.883049, 831.509386,2899.658130,1464.335904,Total.SURVEY_LC1_3B16
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.942056,0.000000,Total.SURVEY_LC1_3B17
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,102.1135,  0.0000,Total.SURVEY_LC1_3B18
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.945914,  3.871666,  0.000000,136.222087,  0.000000,  4.244509,  5.976176,Total.SURVEY_LC1_3B19
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 17.93338,107.24527,  0.00000,Total.SURVEY_LC1_3B21
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.20967,0.00000,0.00000,0.00000,Total.SURVEY_LC1_3B22
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.444795,0.000000,0.000000,3.909073,0.000000,Total.SURVEY_LC1_3B23
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 515.7171, 296.5974, 264.6113, 843.3399, 534.7089,1139.8608,1060.2942,Total.SURVEY_LC1_3B31
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.742127, 87.796578,171.104316,514.810906,150.781584,160.051630,  0.000000,128.623913,Total.SURVEY_LC1_3B32
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 54.32267, 13.22508,132.27622,  0.00000,  0.00000,192.54454,Total.SURVEY_LC1_3B33
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.995613,0.000000,Total.SURVEY_LC1_3B36
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,17.06497,Total.SURVEY_LC1_3B42
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  5.364563,  0.000000,  9.630583,117.523369,  3.967988,Total.SURVEY_LC1_3B43
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.461611, 7.994906, 0.000000,23.710980, 0.000000, 0.000000,Total.SURVEY_LC1_3B44
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.187336,0.000000,0.000000,3.909073,0.000000,Total.SURVEY_LC1_3B51
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 29.68359,109.61261, 12.04943,290.32842, 47.51084,342.73845,213.91588,Total.SURVEY_LC1_3B52
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.976176,Total.SURVEY_LC1_3B53
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.789838,0.000000,0.000000,0.000000,6.451549,0.000000,Total.SURVEY_LC1_3B54
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 13.364437,  0.000000,131.481508,  9.882603,  4.478874,  4.476636,  0.000000,Total.SURVEY_LC1_3B55
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 18.24337, 37.98346, 37.03611, 19.11948, 32.91982,110.72936, 10.12849,Total.SURVEY_LC1_3B71
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,15.564922,22.644019, 4.478874, 3.925086, 0.000000,Total.SURVEY_LC1_3B72
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,21.44762,29.03988,11.86221,12.73748,27.19551,32.03698,35.91483,Total.SURVEY_LC1_3B73
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.352311, 5.464895, 9.116179,30.454932,29.478154,53.960787,31.087065, 3.934766,Total.SURVEY_LC1_3B74
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,39.77898,41.79973,24.03167,37.78724,45.37541,53.90794,52.60467,Total.SURVEY_LC1_3B75
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.710834, 26.708956,113.075989, 46.964628,129.976420,133.410564, 16.908079,135.830432,Total.SURVEY_LC1_3B82
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.710834, 0.000000, 0.000000,19.759660, 0.000000,10.908969, 0.000000, 4.669239,Total.SURVEY_LC1_3B83
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.864249, 0.000000,12.202477, 0.000000,Total.SURVEY_LC1_3B84
   7.526219, 450.857052,1686.608693, 684.350614, 935.559913, 901.817839,2459.232535,3333.902046,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,Total.SURVEY_LC1_3Bx1
  4.445951, 24.272395, 41.771413, 30.355224, 43.621764,112.656354,122.840847,133.586028,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3Bx2
  0.000000,  0.000000,  0.000000,  3.952836,  0.000000,  0.000000,212.343611,128.363030,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3Bxx
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 134.9998,2038.7674,3017.0824,2795.0319,4266.4237,4698.0970,3129.8635,2808.8044,Total.SURVEY_LC1_3C10
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,16.108621, 8.031068,23.180769,28.858528,12.397882,24.771579, 2.290999,Total.SURVEY_LC1_3C21
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,136.457411,  3.948752,399.072070,  3.675151,  8.642253, 42.733341,336.420095,Total.SURVEY_LC1_3C22
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.669811, 0.000000,10.756133, 9.419783, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_3C23
0.000000,0.000000,0.000000,3.088408,0.000000,0.000000,4.241827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3C2x
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,11.03934, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3C31
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.483676, 68.161931,  9.936522,488.758085,147.223715,  7.879973, 24.510986, 70.808706,Total.SURVEY_LC1_3C32
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  7.582294,126.895976,214.216547,168.424045,  0.000000,  4.683908, 45.878525,Total.SURVEY_LC1_3C33
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 15.54072, 57.56812,123.94496, 63.80382,114.45214,347.18867, 92.73348, 80.20012,Total.SURVEY_LC1_3D10
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 16.26403, 39.16651, 48.75889, 55.89986, 79.87711,232.36342,109.30887, 86.61727,Total.SURVEY_LC1_3D20
0.000000,0.000000,0.000000,0.000000,0.000000,3.861248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Dxx
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 23.98264, 88.94607,257.89204,103.86275,195.69213,340.32363,253.59395,292.81075,Total.SURVEY_LC1_3E10
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  59.92607, 743.33159,1096.67673,1145.63204,1019.26733,1817.32362,2921.57346,3085.22959,Total.SURVEY_LC1_3E20
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.962686,320.487231,404.787800,235.719562,364.928967,403.165505,456.829540,503.743925,Total.SURVEY_LC1_3E30
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.896254,0.000000,0.000000,3.913089,0.000000,0.000000,8.646157,Total.SURVEY_LC1_3F20
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   8.472196, 131.827202, 546.426450,  39.416988,1396.787106, 569.936267, 432.195916, 949.622835,Total.SURVEY_LC1_3F40
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.864173, 45.267560,384.636407,117.811544,394.996457,110.030582,146.076223,121.045070,Total.SURVEY_LC1_3G11
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.934766,Total.SURVEY_LC1_3G12
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 15.39592, 97.35735, 34.15813, 56.77831, 68.94717, 25.13897, 82.61325,105.83900,Total.SURVEY_LC1_3G21
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 57.21595,112.06647,184.21528, 98.79938,136.09412,245.72371,209.79700,Total.SURVEY_LC1_3H11
   3.742127, 463.408227,1715.957204, 688.191826, 955.268148, 985.501718,2724.779000,3555.969004,  33.805825,2479.027159,4093.197910,5224.065342,6706.635884,5707.898502,9606.835949,9424.993045,Total.SURVEY_LU1_3U111
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 49.22484,294.16679, 44.72538, 56.87570,150.95162,108.85893,219.46791,Total.SURVEY_LU1_3U112
  8.230043,  7.808737, 12.422901, 30.466848, 23.913529, 28.972474, 69.637994, 35.454218, 12.063146, 34.785607,104.226664, 78.421704, 83.876657, 76.440814, 47.806890, 44.530606,Total.SURVEY_LU1_3U113
   0.000000,   0.000000,   0.000000,   3.088408,   0.000000,   0.000000,   4.241827,   0.000000,  52.860064,1873.562209,2552.376502,3523.057579,4334.869460,3999.624289,2763.976289,2756.483381,Total.SURVEY_LU1_3U120
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  8.120131, 60.360466, 12.035183, 93.718832, 29.530738, 89.511766,113.986770,Total.SURVEY_LU1_3U130
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,36.907986,12.532266, 8.002161, 3.913089,28.572733, 8.141393,16.168412,Total.SURVEY_LU1_3U140
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.203559,0.000000,4.176892,0.000000,0.000000,7.039583,Total.SURVEY_LU1_3U150
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.595045,12.271500, 8.979417,13.638819,18.302053, 4.260302,Total.SURVEY_LU1_3U210
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.600208,3.990744,0.000000,3.919565,4.335174,4.018080,0.000000,4.012540,Total.SURVEY_LU1_3U221
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,20.46171, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LU1_3U222
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.990744,7.897503,3.997453,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LU1_3U223
