No,Yes,variable
   0.000,1082.665,Total.SURVEY_LC1_3F30
   0.000,4289.433,Total.SURVEY_LC1_3F40
16.76969, 0.00000,Total.SURVEY_LC1_3Fxx
    0.00,33139.89,Total.SURVEY_LC1_3G11
0.000000,4.086674,Total.SURVEY_LC1_3G12
   0.000,1344.887,Total.SURVEY_LC1_3G21
 0.00000,12.31602,Total.SURVEY_LC1_3G22
 0.00000,12.53757,Total.SURVEY_LC1_3G30
   0.000,5099.232,Total.SURVEY_LC1_3H11
    0.00,12594.96,Total.SURVEY_LC1_3H12
 0.00000,67.58613,Total.SURVEY_LC1_3H21
6.337883,0.000000,Total.SURVEY_LC1_3Hxx
 2100.159,21480.621,Total.SURVEY_LU1_3U111
  0.0000,684.8781,Total.SURVEY_LU1_3U112
  8.353409,100.254860,Total.SURVEY_LU1_3U113
 13566.2,201507.3,Total.SURVEY_LU1_3U120
  0.0000,443.0204,Total.SURVEY_LU1_3U130
   8.833857,1667.360098,Total.SURVEY_LU1_3U140
  0.0000,191.4333,Total.SURVEY_LU1_3U150
 0.00000,66.97853,Total.SURVEY_LU1_3U210
 0.0000,24.8968,Total.SURVEY_LU1_3U223
0.000000,4.062944,Total.SURVEY_LU1_3U224
 0.0000,42.7866,Total.SURVEY_LU1_3U225
 0.00000,23.98425,Total.SURVEY_LU1_3U226
 0.0000,42.2637,Total.SURVEY_LU1_3U227
0.000000,4.314158,Total.SURVEY_LU1_3U228
  0.0000,137.8598,Total.SURVEY_LU1_3U311
   0.000,5132.821,Total.SURVEY_LU1_3U312
  0.0000,205.9759,Total.SURVEY_LU1_3U313
 0.00000,49.15066,Total.SURVEY_LU1_3U314
0.000000,8.669307,Total.SURVEY_LU1_3U316
  0.0000,154.0848,Total.SURVEY_LU1_3U317
  4.174207,670.562655,Total.SURVEY_LU1_3U319
0.000000,3.985451,Total.SURVEY_LU1_3U321
 0.0000,43.6827,Total.SURVEY_LU1_3U322
  0.0000,243.8626,Total.SURVEY_LU1_3U330
  0.000,120.038,Total.SURVEY_LU1_3U341
  3.729983,552.134891,Total.SURVEY_LU1_3U350
    5.377265,27611.068000,Total.SURVEY_LU1_3U361
  0.0000,274.6065,Total.SURVEY_LU1_3U362
  38.46904,4239.80914,Total.SURVEY_LU1_3U370
0.0000,4.1396,Total.SURVEY_LU1_3U411
 0.0000,49.8065,Total.SURVEY_LU1_3U413
 0.00000,85.40127,Total.SURVEY_LU1_3U414
  0.0000,742.5895,Total.SURVEY_LU1_3U415
 3873.609,52139.682,Total.SURVEY_LU1_3U420
 19562.53,306495.27,Total.settlement0
   46.37323,12258.82876,Total.settlement1
0.008334559,2.203252132,Total.settl_pc
  2509.685,106288.711,Total.fao_class_name0
 16835.19,205025.18,Total.fao_class_name1
 220.1855,5980.6757,Total.fao_class_name2
  43.84631,1459.52760,Total.fao_class_name3
 19561.33,285956.44,Total.lue0
   47.57629,32797.65660,Total.lue1
 19595.9,310226.8,Total.lud0
  13.00806,8527.30178,Total.lud1
1445.856,1450.170,SE.Total.area
  0.0000,509.9459,SE.Total.SURVEY_LC1_1A
244.3703,360.3635,SE.Total.SURVEY_LC1_1B
1404.492,1923.390,SE.Total.SURVEY_LC1_1C
241.1519,987.8043,SE.Total.SURVEY_LC1_1D
  0.0000,857.8081,SE.Total.SURVEY_LC1_1E
  4.6286,566.9232,SE.Total.SURVEY_LC1_1F
  0.0000,223.0118,SE.Total.SURVEY_LC1_1G
  3.85236,459.41863,SE.Total.SURVEY_LC1_1H
1319.751,1907.126,SE.Total.SURVEY_LU1_1U1
 0.00000,41.68954,SE.Total.SURVEY_LU1_1U2
 22.77758,834.58901,SE.Total.SURVEY_LU1_1U3
 636.328,1366.865,SE.Total.SURVEY_LU1_1U4
  0.0000,169.9709,SE.Total.SURVEY_LC1_2A1
  0.000,481.828,SE.Total.SURVEY_LC1_2A2
  0.0000,116.7993,SE.Total.SURVEY_LC1_2A3
  0.0000,347.0091,SE.Total.SURVEY_LC1_2B1
  0.0000,114.1438,SE.Total.SURVEY_LC1_2B2
  0.0000,122.6617,SE.Total.SURVEY_LC1_2B3
 0.00000,74.26739,SE.Total.SURVEY_LC1_2B4
  0.0000,267.8121,SE.Total.SURVEY_LC1_2B5
0,0,SE.Total.SURVEY_LC1_2B7
 0.00000,38.25864,SE.Total.SURVEY_LC1_2B8
244.3703,  0.0000,SE.Total.SURVEY_LC1_2Bx
   0.000,1376.785,SE.Total.SURVEY_LC1_2C1
1279.773,2912.558,SE.Total.SURVEY_LC1_2C2
 597.355,2788.940,SE.Total.SURVEY_LC1_2C3
195.5396,  0.0000,SE.Total.SURVEY_LC1_2Cx
241.1519,798.7564,SE.Total.SURVEY_LC1_2D1
  0.0000,593.0625,SE.Total.SURVEY_LC1_2D2
0,0,SE.Total.SURVEY_LC1_2Dx
  0.0000,404.1239,SE.Total.SURVEY_LC1_2E1
  0.0000,387.2918,SE.Total.SURVEY_LC1_2E2
  0.0000,664.6122,SE.Total.SURVEY_LC1_2E3
 0.00000,33.86351,SE.Total.SURVEY_LC1_2F1
 0.00000,44.13048,SE.Total.SURVEY_LC1_2F2
  0.0000,187.2568,SE.Total.SURVEY_LC1_2F3
  0.0000,532.5789,SE.Total.SURVEY_LC1_2F4
4.6286,0.0000,SE.Total.SURVEY_LC1_2Fx
  0.0000,302.9219,SE.Total.SURVEY_LC1_2G1
  0.0000,213.8567,SE.Total.SURVEY_LC1_2G2
0.000000,5.518232,SE.Total.SURVEY_LC1_2G3
  0.0000,459.4233,SE.Total.SURVEY_LC1_2H1
0.000000,5.974853,SE.Total.SURVEY_LC1_2H2
3.85236,0.00000,SE.Total.SURVEY_LC1_2Hx
244.3703,324.0914,SE.Total.SURVEY_LU1_2U11
1296.929,1899.096,SE.Total.SURVEY_LU1_2U12
  0.0000,158.1131,SE.Total.SURVEY_LU1_2U13
  0.0000,193.3708,SE.Total.SURVEY_LU1_2U14
  0.0000,180.8274,SE.Total.SURVEY_LU1_2U15
 0.00000,34.18447,SE.Total.SURVEY_LU1_2U21
 0.00000,23.86293,SE.Total.SURVEY_LU1_2U22
  0.0000,475.3153,SE.Total.SURVEY_LU1_2U31
 0.00000,18.05418,SE.Total.SURVEY_LU1_2U32
  0.0000,157.6518,SE.Total.SURVEY_LU1_2U33
 0.00000,36.04818,SE.Total.SURVEY_LU1_2U34
  0.0000,186.8928,SE.Total.SURVEY_LU1_2U35
  2.808185,587.727043,SE.Total.SURVEY_LU1_2U36
 22.61137,326.70530,SE.Total.SURVEY_LU1_2U37
  0.0000,209.8942,SE.Total.SURVEY_LU1_2U41
 636.328,1353.967,SE.Total.SURVEY_LU1_2U42
  0.0000,167.9129,SE.Total.SURVEY_LC1_3A11
 0.00000,36.88449,SE.Total.SURVEY_LC1_3A12
0,0,SE.Total.SURVEY_LC1_3A13
  0.0000,202.1752,SE.Total.SURVEY_LC1_3A21
  0.0000,452.7382,SE.Total.SURVEY_LC1_3A22
  0.0000,116.7993,SE.Total.SURVEY_LC1_3A30
  0.0000,213.7528,SE.Total.SURVEY_LC1_3B11
 0.00000,46.80596,SE.Total.SURVEY_LC1_3B12
  0.0000,246.6799,SE.Total.SURVEY_LC1_3B13
 0.00000,55.43308,SE.Total.SURVEY_LC1_3B14
  0.0000,222.6825,SE.Total.SURVEY_LC1_3B15
0.000000,3.019857,SE.Total.SURVEY_LC1_3B18
 0.00000,20.36111,SE.Total.SURVEY_LC1_3B21
 0.00000,71.13199,SE.Total.SURVEY_LC1_3B22
 0.00000,87.03525,SE.Total.SURVEY_LC1_3B23
0.000000,7.401791,SE.Total.SURVEY_LC1_3B31
  0.0000,121.5336,SE.Total.SURVEY_LC1_3B32
0.000000,4.986101,SE.Total.SURVEY_LC1_3B35
 0.00000,14.31736,SE.Total.SURVEY_LC1_3B37
 0.00000,59.95175,SE.Total.SURVEY_LC1_3B41
 0.00000,24.87436,SE.Total.SURVEY_LC1_3B43
 0.00000,38.25864,SE.Total.SURVEY_LC1_3B45
 0.00000,67.63235,SE.Total.SURVEY_LC1_3B51
 0.00000,47.22823,SE.Total.SURVEY_LC1_3B52
 0.00000,91.33434,SE.Total.SURVEY_LC1_3B53
0.000000,6.223039,SE.Total.SURVEY_LC1_3B54
  0.0000,250.4653,SE.Total.SURVEY_LC1_3B55
0,0,SE.Total.SURVEY_LC1_3B71
0,0,SE.Total.SURVEY_LC1_3B73
0,0,SE.Total.SURVEY_LC1_3B75
 0.00000,38.25864,SE.Total.SURVEY_LC1_3B83
0,0,SE.Total.SURVEY_LC1_3B84
244.3125,  0.0000,SE.Total.SURVEY_LC1_3Bx1
0,0,SE.Total.SURVEY_LC1_3Bx2
5.737856,0.000000,SE.Total.SURVEY_LC1_3Bxx
   0.000,1376.785,SE.Total.SURVEY_LC1_3C10
   0.000,1765.514,SE.Total.SURVEY_LC1_3C21
   0.000,2620.128,SE.Total.SURVEY_LC1_3C22
   0.00,1589.16,SE.Total.SURVEY_LC1_3C23
1279.773,   0.000,SE.Total.SURVEY_LC1_3C2x
   0.000,1785.706,SE.Total.SURVEY_LC1_3C31
   0.000,2102.583,SE.Total.SURVEY_LC1_3C32
   0.000,1736.435,SE.Total.SURVEY_LC1_3C33
597.355,  0.000,SE.Total.SURVEY_LC1_3C3x
195.5396,  0.0000,SE.Total.SURVEY_LC1_3Cxx
  0.0000,798.7564,SE.Total.SURVEY_LC1_3D10
241.1519,  0.0000,SE.Total.SURVEY_LC1_3D1x
  0.0000,593.0625,SE.Total.SURVEY_LC1_3D20
0,0,SE.Total.SURVEY_LC1_3Dxx
  0.0000,404.1239,SE.Total.SURVEY_LC1_3E10
  0.0000,387.2918,SE.Total.SURVEY_LC1_3E20
  0.0000,664.6122,SE.Total.SURVEY_LC1_3E30
 0.00000,33.86351,SE.Total.SURVEY_LC1_3F10
 0.00000,44.13048,SE.Total.SURVEY_LC1_3F20
  0.0000,187.2568,SE.Total.SURVEY_LC1_3F30
  0.0000,532.5789,SE.Total.SURVEY_LC1_3F40
4.6286,0.0000,SE.Total.SURVEY_LC1_3Fxx
  0.0000,302.9219,SE.Total.SURVEY_LC1_3G11
0,0,SE.Total.SURVEY_LC1_3G12
  0.0000,213.8256,SE.Total.SURVEY_LC1_3G21
0.000000,3.673538,SE.Total.SURVEY_LC1_3G22
0.000000,5.518232,SE.Total.SURVEY_LC1_3G30
  0.0000,310.2547,SE.Total.SURVEY_LC1_3H11
  0.0000,474.6328,SE.Total.SURVEY_LC1_3H12
0.000000,5.974853,SE.Total.SURVEY_LC1_3H21
3.85236,0.00000,SE.Total.SURVEY_LC1_3Hxx
244.3703,282.0466,SE.Total.SURVEY_LU1_3U111
  0.0000,182.1404,SE.Total.SURVEY_LU1_3U112
 0.00000,11.75251,SE.Total.SURVEY_LU1_3U113
1296.929,1899.096,SE.Total.SURVEY_LU1_3U120
  0.0000,158.1131,SE.Total.SURVEY_LU1_3U130
  0.0000,193.3708,SE.Total.SURVEY_LU1_3U140
  0.0000,180.8274,SE.Total.SURVEY_LU1_3U150
 0.00000,34.18447,SE.Total.SURVEY_LU1_3U210
0.000000,9.095044,SE.Total.SURVEY_LU1_3U223
0,0,SE.Total.SURVEY_LU1_3U224
 0.00000,20.26663,SE.Total.SURVEY_LU1_3U225
0.000000,8.716825,SE.Total.SURVEY_LU1_3U226
0,0,SE.Total.SURVEY_LU1_3U227
0,0,SE.Total.SURVEY_LU1_3U228
 0.00000,31.00495,SE.Total.SURVEY_LU1_3U311
  0.0000,454.7655,SE.Total.SURVEY_LU1_3U312
 0.00000,77.45679,SE.Total.SURVEY_LU1_3U313
0.000000,9.641987,SE.Total.SURVEY_LU1_3U314
0,0,SE.Total.SURVEY_LU1_3U316
 0.00000,50.07565,SE.Total.SURVEY_LU1_3U317
  0.0000,127.8712,SE.Total.SURVEY_LU1_3U319
0,0,SE.Total.SURVEY_LU1_3U321
 0.00000,18.05418,SE.Total.SURVEY_LU1_3U322
  0.0000,157.6518,SE.Total.SURVEY_LU1_3U330
 0.00000,36.04818,SE.Total.SURVEY_LU1_3U341
  0.0000,186.8928,SE.Total.SURVEY_LU1_3U350
  2.808185,587.748661,SE.Total.SURVEY_LU1_3U361
 0.00000,71.54673,SE.Total.SURVEY_LU1_3U362
 22.61137,326.70530,SE.Total.SURVEY_LU1_3U370
0,0,SE.Total.SURVEY_LU1_3U411
 0.00000,17.18314,SE.Total.SURVEY_LU1_3U413
 0.00000,10.26511,SE.Total.SURVEY_LU1_3U414
  0.0000,208.9405,SE.Total.SURVEY_LU1_3U415
 636.328,1353.967,SE.Total.SURVEY_LU1_3U420
1445.681,1553.519,SE.Total.settlement0
 22.61137,604.80146,SE.Total.settlement1
0.004063891,0.108699626,SE.Total.settl_pc
 314.139,1127.655,SE.Total.fao_class_name0
1402.391,1892.407,SE.Total.fao_class_name1
192.4736,865.4175,SE.Total.fao_class_name2
 22.77758,303.69459,SE.Total.fao_class_name3
1445.679,1595.997,SE.Total.lue0
 22.77758,692.45174,SE.Total.lue1
1445.856,1531.191,SE.Total.lud0
  0.0000,536.8968,SE.Total.lud1
 16775.08,315911.81,CI.l(95%).Total.area
   0.000,6279.033,CI.l(95%).Total.SURVEY_LC1_1A
 1629.556,10482.878,CI.l(95%).Total.SURVEY_LC1_1B
 14477.16,202225.11,CI.l(95%).Total.SURVEY_LC1_1C
 -225.282,15296.244,CI.l(95%).Total.SURVEY_LC1_1D
    0.00,16510.65,CI.l(95%).Total.SURVEY_LC1_1E
   7.697806,5480.654676,CI.l(95%).Total.SURVEY_LC1_1F
    0.00,34076.62,CI.l(95%).Total.SURVEY_LC1_1G
   -1.212603,16861.334406,CI.l(95%).Total.SURVEY_LC1_1H
 13096.88,222336.98,CI.l(95%).Total.SURVEY_LU1_1U1
  0.000,127.577,CI.l(95%).Total.SURVEY_LU1_1U2
