FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
 0.00000, 0.00000,11.10852, 0.00000,Total.SURVEY_LC1_3B35
 0.0000, 0.0000,20.7185, 0.0000,Total.SURVEY_LC1_3B37
  0.0000,  0.0000,154.0816,  0.0000,Total.SURVEY_LC1_3B41
 0.00000, 0.00000,44.20061, 0.00000,Total.SURVEY_LC1_3B43
 0.00000, 0.00000,40.32017, 0.00000,Total.SURVEY_LC1_3B45
  0.0000,  0.0000,256.3577,  0.0000,Total.SURVEY_LC1_3B51
 0.00000, 0.00000,57.46146, 0.00000,Total.SURVEY_LC1_3B52
  0.00000,  0.00000,368.61027,  7.16993,Total.SURVEY_LC1_3B53
 0.00000, 0.00000,16.57982, 0.00000,Total.SURVEY_LC1_3B54
   0.00000,   0.00000,3306.45777,  46.29487,Total.SURVEY_LC1_3B55
 0.00000, 0.00000,48.37751, 5.00183,Total.SURVEY_LC1_3B71
0.000000,0.000000,4.413947,0.000000,Total.SURVEY_LC1_3B73
 0.00000, 0.00000,32.21043, 0.00000,Total.SURVEY_LC1_3B75
 0.00000, 0.00000,40.32017, 0.00000,Total.SURVEY_LC1_3B83
0.00000,0.00000,3.98279,0.00000,Total.SURVEY_LC1_3B84
2076.193316,   7.378644,   0.000000,   0.000000,Total.SURVEY_LC1_3Bx1
12.58741, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Bx2
12.35321, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Bxx
    0.0000,    0.0000,17316.0646,  162.7146,Total.SURVEY_LC1_3C10
    0.00000,    0.00000,24877.38450,   63.76371,Total.SURVEY_LC1_3C21
    0.0000,    0.0000,63321.0002,  412.6639,Total.SURVEY_LC1_3C22
    0.0000,    0.0000,17953.8344,  105.9639,Total.SURVEY_LC1_3C23
13942.018839,    9.309228,    0.000000,    0.000000,Total.SURVEY_LC1_3C2x
    0.00000,    0.00000,25386.91914,   87.01508,Total.SURVEY_LC1_3C31
    0.0000,    0.0000,33551.4455,  223.9913,Total.SURVEY_LC1_3C32
    0.00000,    0.00000,22477.69797,   54.42681,Total.SURVEY_LC1_3C33
2984.10999,  14.42223,   0.00000,   0.00000,Total.SURVEY_LC1_3C3x
280.0575,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_3Cxx
   0.000000,   0.000000,6006.550201,   9.309228,Total.SURVEY_LC1_3D10
243.1929,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_3D1x
    0.000000,    0.000000,11208.452394,    7.993003,Total.SURVEY_LC1_3D20
4.174207,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Dxx
   0.00000,   0.00000,2844.48685,  30.02524,Total.SURVEY_LC1_3E10
    0.00000,    0.00000,10112.10214,   89.79816,Total.SURVEY_LC1_3E20
   0.00000,   0.00000,5105.50531,  10.00366,Total.SURVEY_LC1_3E30
  0.00000,  0.00000,943.93504, 41.37131,Total.SURVEY_LC1_3F10
  0.0000,  0.0000,234.3993,  0.0000,Total.SURVEY_LC1_3F20
   0.000000,   0.000000,1078.074072,   4.591064,Total.SURVEY_LC1_3F30
   0.00000,   0.00000,4277.24718,  12.18575,Total.SURVEY_LC1_3F40
16.76969, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Fxx
    0.00000,    0.00000,33082.90878,   56.97878,Total.SURVEY_LC1_3G11
0.000000,0.000000,4.086674,0.000000,Total.SURVEY_LC1_3G12
   0.000,   0.000,1344.887,   0.000,Total.SURVEY_LC1_3G21
0.000000,0.000000,6.236748,6.079276,Total.SURVEY_LC1_3G22
