FI19.No,FI1B.No,FI1C.No,FI1D.No,FI20.No,FI19.Yes,FI1B.Yes,FI1C.Yes,FI1D.Yes,FI20.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  91.427495,  20.669576, 114.496523,1124.529802,   6.079276,Total.SURVEY_LC1_2G2
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,12.53757, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2G3
    0.00000,    0.00000,    0.00000,    0.00000,    0.00000, 1179.55802,   63.65611,  378.25487,16062.58976,   10.13348,Total.SURVEY_LC1_2H1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,20.453433, 4.235135,12.526547,15.974787,14.396225,Total.SURVEY_LC1_2H2
0.000000,0.000000,0.000000,6.337883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Hx
 686.513110, 479.014474, 502.941727, 432.664626,   7.378644,7605.417576,1456.416935,6145.763969,6869.441644, 188.714095,Total.SURVEY_LU1_2U11
   348.36228,   359.71489,   622.90186, 12220.79791,    14.42223, 42755.92071,  4751.33929, 19830.09102,133258.80593,   911.15309,Total.SURVEY_LU1_2U12
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  7.997413,435.023028,  0.000000,Total.SURVEY_LU1_2U13
  0.000000,  0.000000,  3.910738,  4.923118,  0.000000,492.777861, 57.914004,169.155484,947.512749,  0.000000,Total.SURVEY_LU1_2U14
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  8.497203,  0.000000,  0.000000,182.936138,  0.000000,Total.SURVEY_LU1_2U15
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.246469, 0.000000, 0.000000,58.732056, 0.000000,Total.SURVEY_LU1_2U21
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,28.068636, 4.235135,52.438598,57.566096, 0.000000,Total.SURVEY_LU1_2U22
   0.000000,   0.000000,   4.174207,   0.000000,   0.000000,1648.918710, 462.296509, 943.576773,3283.941427,  20.390498,Total.SURVEY_LU1_2U31
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,17.702456, 5.037748,24.927950, 0.000000, 0.000000,Total.SURVEY_LU1_2U32
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.072978, 29.226934,  3.729983,191.924145, 14.908585,Total.SURVEY_LU1_2U33
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,13.07568,21.71211,50.24634,35.00392, 0.00000,Total.SURVEY_LU1_2U34
  0.000000,  0.000000,  3.729983,  0.000000,  0.000000, 60.891132, 35.457001, 46.703136,409.083622,  0.000000,Total.SURVEY_LU1_2U35
